filename,word_count,ten_grams
WR-P-P-B-0000000239.dcoi.xml,97953,97944
WR-P-P-B-0000000240.dcoi.xml,111787,111778
WR-P-P-B-0000000241.dcoi.xml,112004,111995
WR-P-P-B-0000000242.dcoi.xml,54284,54275
WR-P-P-B-0000000243.dcoi.xml,97177,97168
WR-P-P-B-0000000244.dcoi.xml,108310,108301
WR-P-P-B-0000000245.dcoi.xml,750,741
WR-P-P-B-0000000246.dcoi.xml,1623,1614
WR-P-P-B-0000000247.dcoi.xml,3670,3661
WR-P-P-B-0000000248.dcoi.xml,1547,1538
WR-P-P-B-0000000249.dcoi.xml,1822,1813
WR-P-P-B-0000000250.dcoi.xml,1950,1941
WR-P-P-B-0000000251.dcoi.xml,1458,1449
WR-P-P-B-0000000252.dcoi.xml,7837,7828
WR-P-P-B-0000000253.dcoi.xml,2180,2171
WR-P-P-B-0000000254.dcoi.xml,29467,29458
WR-P-P-B-0000000255.dcoi.xml,18959,18950
WR-P-P-B-0000000256.dcoi.xml,32264,32255
WR-P-P-B-0000000257.dcoi.xml,24000,23991
WR-P-P-B-0000000258.dcoi.xml,30014,30005
WR-P-P-B-0000000259.dcoi.xml,11828,11819
WR-P-P-B-0000000260.dcoi.xml,11689,11680
WR-P-P-B-0000000261.dcoi.xml,7536,7527
WR-P-P-B-0000000262.dcoi.xml,3895,3886
WR-P-P-B-0000000263.dcoi.xml,3716,3707
WR-P-P-B-0000000264.dcoi.xml,2730,2721
WR-P-P-B-0000000265.dcoi.xml,2530,2521
WR-P-P-B-0000000266.dcoi.xml,2323,2314
WR-P-P-B-0000000267.dcoi.xml,1281,1272
WR-P-P-B-0000000268.dcoi.xml,2863,2854
WR-P-P-B-0000000269.dcoi.xml,2117,2108
WR-P-P-B-0000000270.dcoi.xml,1216,1207
WR-P-P-B-0000000271.dcoi.xml,573,564
WR-P-P-B-0000000272.dcoi.xml,8558,8549
WR-P-P-B-0000000273.dcoi.xml,2923,2914
WR-P-P-B-0000000274.dcoi.xml,3023,3014
WR-P-P-B-0000000275.dcoi.xml,1886,1877
WR-P-P-B-0000000276.dcoi.xml,3217,3208
WR-P-P-B-0000000277.dcoi.xml,399,390
WR-P-P-B-0000000278.dcoi.xml,385,376
WR-P-P-B-0000000279.dcoi.xml,770,761
WR-P-P-B-0000000280.dcoi.xml,14709,14700
WR-P-P-B-0000000281.dcoi.xml,43613,43604
WR-P-P-B-0000000282.dcoi.xml,33711,33702
WR-P-P-B-0000000283.dcoi.xml,24004,23995
WR-P-P-B-0000000284.dcoi.xml,33310,33301
WR-P-P-B-0000000285.dcoi.xml,29944,29935
WR-P-P-B-0000000286.dcoi.xml,19633,19624
WR-P-P-B-0000000287.dcoi.xml,20920,20911
WR-P-P-B-0000000288.dcoi.xml,3514,3505
WR-P-P-B-0000000289.dcoi.xml,28947,28938
WR-P-P-B-0000000290.dcoi.xml,23851,23842
WR-P-P-B-0000000291.dcoi.xml,27798,27789
WR-P-P-B-0000000292.dcoi.xml,26789,26780
WR-P-P-B-0000000293.dcoi.xml,24268,24259
WR-P-P-B-0000000294.dcoi.xml,29777,29768
WR-P-P-B-0000000295.dcoi.xml,8521,8512
WR-P-P-B-0000000296.dcoi.xml,11933,11924
WR-P-P-B-0000000297.dcoi.xml,8553,8544
WR-P-P-B-0000000298.dcoi.xml,12447,12438
WR-P-P-B-0000000299.dcoi.xml,10556,10547
WR-P-P-B-0000000300.dcoi.xml,26801,26792
